query,start,end,day_count
from:IvanDuque,2018-05-20T00:00:00.000Z,2018-05-21T00:00:00.000Z,26
from:IvanDuque,2018-05-21T00:00:00.000Z,2018-05-22T00:00:00.000Z,37
from:IvanDuque,2018-05-22T00:00:00.000Z,2018-05-23T00:00:00.000Z,30
from:IvanDuque,2018-05-23T00:00:00.000Z,2018-05-24T00:00:00.000Z,35
from:IvanDuque,2018-05-24T00:00:00.000Z,2018-05-25T00:00:00.000Z,45
from:IvanDuque,2018-05-25T00:00:00.000Z,2018-05-26T00:00:00.000Z,35
from:IvanDuque,2018-05-26T00:00:00.000Z,2018-05-27T00:00:00.000Z,31
from:IvanDuque,2018-05-27T00:00:00.000Z,2018-05-28T00:00:00.000Z,3
from:IvanDuque,2018-05-28T00:00:00.000Z,2018-05-29T00:00:00.000Z,21
from:IvanDuque,2018-05-29T00:00:00.000Z,2018-05-30T00:00:00.000Z,45
from:IvanDuque,2018-05-30T00:00:00.000Z,2018-05-31T00:00:00.000Z,38
from:IvanDuque,2018-05-31T00:00:00.000Z,2018-06-01T00:00:00.000Z,20
from:IvanDuque,2018-06-01T00:00:00.000Z,2018-06-02T00:00:00.000Z,26
from:IvanDuque,2018-06-02T00:00:00.000Z,2018-06-03T00:00:00.000Z,16
from:petrogustavo,2018-05-20T00:00:00.000Z,2018-05-21T00:00:00.000Z,76
from:petrogustavo,2018-05-21T00:00:00.000Z,2018-05-22T00:00:00.000Z,31
from:petrogustavo,2018-05-22T00:00:00.000Z,2018-05-23T00:00:00.000Z,40
from:petrogustavo,2018-05-23T00:00:00.000Z,2018-05-24T00:00:00.000Z,28
from:petrogustavo,2018-05-24T00:00:00.000Z,2018-05-25T00:00:00.000Z,49
from:petrogustavo,2018-05-25T00:00:00.000Z,2018-05-26T00:00:00.000Z,75
from:petrogustavo,2018-05-26T00:00:00.000Z,2018-05-27T00:00:00.000Z,56
from:petrogustavo,2018-05-27T00:00:00.000Z,2018-05-28T00:00:00.000Z,75
from:petrogustavo,2018-05-28T00:00:00.000Z,2018-05-29T00:00:00.000Z,72
from:petrogustavo,2018-05-29T00:00:00.000Z,2018-05-30T00:00:00.000Z,65
from:petrogustavo,2018-05-30T00:00:00.000Z,2018-05-31T00:00:00.000Z,123
from:petrogustavo,2018-05-31T00:00:00.000Z,2018-06-01T00:00:00.000Z,35
from:petrogustavo,2018-06-01T00:00:00.000Z,2018-06-02T00:00:00.000Z,49
from:petrogustavo,2018-06-02T00:00:00.000Z,2018-06-03T00:00:00.000Z,53
from:ClaudiaLopez,2018-05-20T00:00:00.000Z,2018-05-21T00:00:00.000Z,31
from:ClaudiaLopez,2018-05-21T00:00:00.000Z,2018-05-22T00:00:00.000Z,63
from:ClaudiaLopez,2018-05-22T00:00:00.000Z,2018-05-23T00:00:00.000Z,68
from:ClaudiaLopez,2018-05-23T00:00:00.000Z,2018-05-24T00:00:00.000Z,91
from:ClaudiaLopez,2018-05-24T00:00:00.000Z,2018-05-25T00:00:00.000Z,51
from:ClaudiaLopez,2018-05-25T00:00:00.000Z,2018-05-26T00:00:00.000Z,83
from:ClaudiaLopez,2018-05-26T00:00:00.000Z,2018-05-27T00:00:00.000Z,84
from:ClaudiaLopez,2018-05-27T00:00:00.000Z,2018-05-28T00:00:00.000Z,64
from:ClaudiaLopez,2018-05-28T00:00:00.000Z,2018-05-29T00:00:00.000Z,15
from:ClaudiaLopez,2018-05-29T00:00:00.000Z,2018-05-30T00:00:00.000Z,12
from:ClaudiaLopez,2018-05-30T00:00:00.000Z,2018-05-31T00:00:00.000Z,14
from:ClaudiaLopez,2018-05-31T00:00:00.000Z,2018-06-01T00:00:00.000Z,24
